STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
39,169,01074096,0500000US39169,39169,Wayne,06,1437096032,5046259
48,251,01383911,0500000US48251,48251,Johnson,06,1877223473,25002931
47,187,01639801,0500000US47187,47187,Williamson,06,1509616958,3007980
04,005,00025443,0500000US04005,04005,Coconino,06,48222143094,110123852
06,071,00277300,0500000US06071,06071,San Bernardino,06,51954895600,117095140
08,031,00198131,0500000US08031,08031,Denver,06,397024697,4245400
49,021,01448025,0500000US49021,49021,Iron,06,8537474421,11390956
47,037,01639737,0500000US47037,47037,Davidson,06,1304032668,56590440
13,063,01672399,0500000US13063,13063,Clayton,06,366930141,6989148
06,037,00277283,0500000US06037,06037,Los Angeles,06,10510671776,1794675167
27,123,00659507,0500000US27123,27123,Ramsey,06,394246995,46264475
08,005,00198118,0500000US08005,08005,Arapahoe,06,2066632437,19499590
06,059,00277294,0500000US06059,06059,Orange,06,2053294769,402004844
12,103,00295745,0500000US12103,12103,Pinellas,06,709006650,866038559
34,027,00882231,0500000US34027,34027,Morris,06,1192855212,54286849
13,067,01686112,0500000US13067,13067,Cobb,06,879964563,12464091
55,063,01581091,0500000US55063,55063,La Crosse,06,1170076691,73110106
48,439,01384005,0500000US48439,48439,Tarrant,06,2236833515,100104623
47,149,01639787,0500000US47149,47149,Rutherford,06,1603845509,12453819
04,021,00025447,0500000US04021,04021,Pinal,06,13897458216,22344375
48,209,01383890,0500000US48209,48209,Hays,06,1755978790,5037743
34,035,00882234,0500000US34035,34035,Somerset,06,781816438,8009058
27,003,00659447,0500000US27003,27003,Anoka,06,1092919450,62411173
15,003,00365281,0500000US15003,15003,Honolulu,06,1555453537,4055036094
48,085,01383828,0500000US48085,48085,Collin,06,2178894500,116215462
06,001,01675839,0500000US06001,06001,Alameda,06,1909598013,216923745
06,013,01675903,0500000US06013,06013,Contra Costa,06,1857233047,225282636
27,053,00659472,0500000US27053,27053,Hennepin,06,1434458964,136553032
41,051,01135861,0500000US41051,41051,Multnomah,06,1116558776,88222268
34,013,00882276,0500000US34013,34013,Essex,06,326557460,8638172
08,001,00198116,0500000US08001,08001,Adams,06,3020592854,44447105
06,041,00277285,0500000US06041,06041,Marin,06,1347976788,797029137
08,041,00198135,0500000US08041,08041,El Paso,06,5508504028,7097457
15,001,00365280,0500000US15001,15001,Hawaii,06,10433637868,2739470031
48,113,01383842,0500000US48113,48113,Dallas,06,2258614866,94698972
13,089,01687424,0500000US13089,13089,DeKalb,06,693405943,8955544
08,013,00198122,0500000US08013,08013,Boulder,06,1881290197,36512644
13,219,00356774,0500000US13219,13219,Oconee,06,477412565,5295410
41,005,01155127,0500000US41005,41005,Clackamas,06,4845034547,31873103
49,011,01448020,0500000US49011,49011,Davis,06,774500758,870693255
27,169,00659529,0500000US27169,27169,Winona,06,1621638202,40051923
13,121,01694833,0500000US13121,13121,Fulton,06,1364248547,19674940
08,059,00198145,0500000US08059,08059,Jefferson,06,1979501357,25326322
20,045,00484992,0500000US20045,20045,Douglas,06,1180402407,48900755
49,035,01448031,0500000US49035,49035,Salt Lake,06,1921943668,164903351
26,161,01623021,0500000US26161,26161,Washtenaw,06,1828460768,42602260
34,039,00882235,0500000US34039,34039,Union,06,266160325,7056624
06,073,00277301,0500000US06073,06073,San Diego,06,10900649391,820695499
06,065,00277297,0500000US06065,06065,Riverside,06,18664901451,250194697
48,139,01383856,0500000US48139,48139,Ellis,06,2423349113,41666088
08,014,01945881,0500000US08014,08014,Broomfield,06,85478796,1411395
06,085,00277307,0500000US06085,06085,Santa Clara,06,3343896477,33589866
53,011,01531820,0500000US53011,53011,Clark,06,1627765163,70227847
35,001,01702363,0500000US35001,35001,Bernalillo,06,3007639331,15855131
53,073,01529224,0500000US53073,53073,Whatcom,06,5459429045,1028151220
13,059,01672699,0500000US13059,13059,Clarke,06,308774405,4698758
06,081,00277305,0500000US06081,06081,San Mateo,06,1161960635,757110545
04,013,00037026,0500000US04013,04013,Maricopa,06,23825949527,64236947
06,075,00277302,0500000US06075,06075,San Francisco,06,121375681,479216672
42,027,01214720,0500000US42027,42027,Centre,06,2874529771,8187262
12,001,00308548,0500000US12001,12001,Alachua,06,2266324954,242877007
