"","clusters","cluster_ID","city","modality","majority_modality"
"1",1,"1.01","Salt Lake City","Uni","Uni"
"2",1,"1.02","Salt Lake City","Uni","Uni"
"3",1,"1.03","Salt Lake City","Uni","Uni"
"4",1,"1.04","Salt Lake City","Uni","Uni"
"5",1,"1.05","Salt Lake City","Uni","Uni"
"6",1,"1.06","Salt Lake City","Uni","Uni"
"7",1,"1.07","Salt Lake City","Uni","Uni"
"8",1,"1.08","Salt Lake City","Uni","Uni"
"9",1,"1.09","Salt Lake City","Uni","Uni"
"10",1,"1.1","Salt Lake City","Uni","Uni"
"11",2,"1.11","Salt Lake City","Multi","Uni"
"12",3,"25.1","San Francisco","Multi","Multi"
"13",5,"25.2","San Francisco","Multi","Multi"
"14",1,"25.3","San Francisco","Uni","Multi"
"15",2,"25.4","San Francisco","Multi","Multi"
"16",2,"25.5","San Francisco","Multi","Multi"
"17",1,"25.6","San Francisco","Uni","Multi"
"18",1,"25.7","San Francisco","Uni","Multi"
"19",3,"26.1","Phoenix","Multi","Multi"
"20",2,"26.2","Phoenix","Multi","Multi"
"21",3,"28.1","Los Angeles","Multi","Multi"
"22",4,"28.2","Los Angeles","Multi","Multi"
"23",3,"27.1","San Diego","Multi","Multi"
"24",2,"27.2","San Diego","Multi","Multi"
